,0
403,0.008485857
404,0.008381487
405,0.008353634
406,0.008140167
407,0.0076800534
408,0.0070044836
409,0.0062654847
410,0.0056856563
411,0.00516576
412,0.004567758
413,0.0040403893
414,0.003751195
415,0.0037488535
416,0.003918556
417,0.0041204705
418,0.0041209096
419,0.0037644315
420,0.0033642447
421,0.0031763352
422,0.003271402
423,0.003633763
424,0.0037321458
425,0.0033640016
426,0.0030995426
427,0.0031396965
428,0.0033532216
429,0.0037232914
430,0.004055309
431,0.004163078
432,0.0040856814
433,0.0038283782
434,0.0034631349
435,0.0032705266
436,0.0033392562
437,0.0035978504
438,0.0040598423
439,0.00448226
440,0.0047011757
441,0.004991335
442,0.0053346185
443,0.0056940205
444,0.006260015
445,0.0068767136
446,0.0074211685
447,0.007990267
448,0.008621212
449,0.009173398
450,0.009604612
451,0.010078069
452,0.010593716
453,0.011110809
454,0.011466301
455,0.011370109
456,0.010968176
457,0.010707927
458,0.01049752
459,0.010160638
460,0.010032179
461,0.010057099
462,0.009955957
463,0.009817944
464,0.009659751
465,0.0095192315
466,0.009524037
467,0.009454872
468,0.00900886
469,0.008347847
470,0.007867245
471,0.007684766
472,0.007675447
473,0.0077387174
474,0.007917772
475,0.008214614
476,0.0085461205
477,0.008871801
478,0.009228663
479,0.009723693
480,0.010140929
481,0.010216985
482,0.010222885
483,0.010077239
484,0.009534368
485,0.009163046
486,0.009392532
487,0.00997782
488,0.010576306
489,0.011190611
490,0.01188388
491,0.012542036
492,0.013042811
493,0.013257157
494,0.013328498
495,0.013502762
496,0.013797395
497,0.014153495
498,0.014307901
499,0.013966371
500,0.01337714
501,0.012928965
502,0.012405094
503,0.011589307
504,0.010670339
505,0.009629762
506,0.008533587
507,0.007637836
508,0.006846184
509,0.0060943165
510,0.0053159287
511,0.0043740934
512,0.0034295584
513,0.0025915396
514,0.0020010837
515,0.0016472267
516,0.0014103138
517,0.0012719276
518,0.0009677035
519,0.0005378103
520,0.00025609758
521,0.000104868624
522,8.7005086e-05
523,0.00034364787
524,0.0010669244
525,0.0021594912
526,0.003139847
527,0.0037883976
528,0.004260752
529,0.0046128286
530,0.0047818534
531,0.0047841603
532,0.004866404
533,0.0052438094
534,0.005774348
535,0.0060610184
536,0.005947315
537,0.0056805518
538,0.0055316226
539,0.0056046345
540,0.0057705203
541,0.0059618745
542,0.0060676453
543,0.00597823
544,0.005926842
545,0.006127454
546,0.006575154
547,0.0071566175
548,0.007605166
549,0.0077560362
550,0.0077537587
551,0.007754915
552,0.007650679
553,0.0073028645
554,0.0067389472
555,0.006225445
556,0.0060216896
557,0.006071656
558,0.006031984
559,0.0057165367
560,0.005525855
561,0.0056474647
562,0.0058216546
563,0.005924994
564,0.0058060517
565,0.0051585184
566,0.0041610207
567,0.0031938197
568,0.0023796374
569,0.0019008587
570,0.0017137281
571,0.0015155112
572,0.0012713879
573,0.0010611706
574,0.0007345739
575,0.00037284358
576,0.00038636607
577,0.0007540542
578,0.0010348908
579,0.0009080841
580,0.0003672851
581,-0.00013814885
582,-0.0002713759
583,-5.7908997e-05
584,0.0003195023
585,0.00064447144
586,0.0010020351
587,0.0014208375
588,0.001896528
589,0.0026133924
590,0.0033935744
591,0.004052066
592,0.00465961
593,0.0050335084
594,0.0052639684
595,0.0056802873
596,0.0060679936
597,0.006084496
598,0.0058030915
599,0.005444151
600,0.005029366
601,0.00440659
602,0.003548865
603,0.0027185164
604,0.00205796
605,0.0015704399
606,0.0014013897
607,0.0015780929
608,0.0020505015
609,0.0026924256
610,0.0031963408
611,0.0034031365
612,0.0033804846
613,0.0033029406
614,0.0032678635
615,0.0031313614
616,0.002798413
617,0.0022561334
618,0.0015938748
619,0.0011465399
620,0.0012048569
621,0.0015466651
622,0.0016330752
623,0.0014105785
624,0.001066361
625,0.00060249196
626,5.294071e-05
