,0
173,140012.61
174,136613.75
175,135275.08
176,132517.3
177,129393.64
178,126402.8
179,122433.11
180,120852.98
181,119526.71
182,118033.89
183,115436.06
184,112627.95
185,110368.586
186,108125.664
187,106153.35
188,103253.7
189,100887.14
190,99184.73
191,97894.68
192,97062.4
193,96603.125
194,96184.45
195,96864.1
196,99371.86
197,108338.93
198,133192.61
199,188690.77
200,132117.27
201,105198.11
202,139340.25
203,107639.68
204,109329.67
205,120506.28
206,90973.66
207,114017.39
208,99575.38
209,98405.76
210,103148.27
211,83538.21
212,91753.49
213,86050.3
214,86645.89
215,85370.23
216,75383.29
217,82008.914
218,77317.93
219,75175.766
220,74667.42
221,68787.41
222,71511.18
223,68035.27
224,67313.25
225,66331.98
226,63820.914
227,65150.52
228,62008.938
229,61268.05
230,61115.117
231,59025.492
232,59268.086
233,57999.49
234,56967.95
235,56542.344
236,55148.43
237,54694.035
238,53830.535
239,52843.52
240,52709.14
241,51748.72
242,50843.785
243,50624.113
244,49844.45
245,49063.707
246,48686.324
247,47960.34
248,47264.57
249,46889.805
250,46322.188
251,45718.535
252,45500.62
253,45422.613
254,45847.734
255,48481.188
256,54307.42
257,66724.26
258,72380.33
259,66078.16
260,48368.496
261,52044.793
262,54407.81
263,53311.293
264,49119.836
265,42674.438
266,49265.42
267,48125.574
268,39618.547
269,43272.117
270,43904.32
271,39988.93
272,40981.62
273,38834.957
274,40212.95
275,39887.17
276,36216.92
277,38244.914
278,37662.367
279,36558.55
280,36418.332
281,34890.75
282,36176.61
283,35035.234
284,33850.203
285,34314.84
286,33468.9
287,33724.418
288,33099.984
289,32064.049
290,32468.871
291,32089.346
292,31579.943
293,31517.326
294,30700.088
295,30642.68
296,30642.701
297,30103.047
298,29963.959
299,29628.443
300,29082.268
301,29065.527
302,28893.078
303,28513.662
304,28371.338
305,28080.465
306,27667.363
307,27558.672
308,27387.54
309,27083.406
310,26929.04
311,26809.48
312,26514.928
313,26270.2
314,26121.363
315,25893.164
316,25627.377
317,25471.887
318,25353.436
319,25147.664
320,24974.848
321,24922.957
322,24998.986
323,25208.145
324,25822.44
325,27262.506
326,30296.09
327,35844.312
328,45329.746
329,55145.984
330,56171.703
331,38255.047
332,24925.309
333,31305.994
334,39267.53
335,36680.145
336,30887.414
337,29031.807
338,29551.13
339,32139.244
340,30771.988
341,23417.188
342,28249.387
343,29548.889
344,23598.324
345,25283.13
346,26583.393
347,22779.02
348,25261.443
349,24111.887
350,21272.576
351,24197.963
352,22048.63
353,21460.678
354,22617.213
355,20696.1
356,21268.756
357,21290.64
358,20043.693
359,20601.982
360,20247.65
361,19495.58
362,20177.543
363,19488.11
364,19241.018
365,19573.936
366,18732.336
367,18814.16
368,18820.215
369,18343.205
370,18486.791
371,18329.014
372,17982.15
373,18053.441
374,17863.213
375,17588.557
376,17660.809
377,17434.486
378,17253.246
379,17254.855
380,17086.941
381,16930.105
382,16905.443
383,16789.516
384,16645.912
385,16661.04
386,16635.252
387,16641.83
388,16852.19
389,17358.227
390,18271.322
391,20384.832
392,23609.693
393,28999.926
394,32869.582
395,33679.504
396,26052.346
397,19181.885
398,17749.0
399,20690.89
400,23308.658
401,22256.545
402,19324.959
403,15721.472
404,17993.166
405,21212.812
406,18427.658
407,16222.502
408,16605.639
409,16168.973
410,16618.584
411,17324.67
412,15768.069
413,14376.998
414,15388.242
415,15948.635
416,15290.665
417,15070.996
418,14497.318
419,14019.441
420,14454.66
421,14843.6455
422,14277.534
423,13787.173
424,13735.92
425,13628.359
426,13635.861
427,13826.131
428,13705.275
429,13241.039
430,13048.832
431,13086.431
432,13036.226
433,12997.002
434,13043.53
435,12949.981
436,12708.375
437,12541.636
438,12494.93
439,12443.845
440,12356.499
441,12346.033
442,12365.95
443,12317.989
444,12218.607
445,12141.023
446,12078.2295
447,11988.437
448,11873.399
449,11782.916
450,11722.078
451,11661.695
452,11576.388
453,11499.874
454,11442.827
455,11395.607
456,11336.485
457,11269.436
458,11210.31
459,11160.218
460,11118.483
461,11079.054
462,11053.285
463,11065.434
464,11162.523
465,11450.432
466,12147.56
467,13802.122
468,17314.703
469,25174.111
470,36031.098
471,49658.598
472,39990.5
473,30306.482
474,36682.105
475,62993.594
476,40063.22
477,24107.27
478,40248.832
479,31368.426
480,26232.303
481,28279.87
482,18009.395
483,23993.693
484,25931.693
485,23849.293
486,23010.297
487,24141.787
488,15813.675
489,18566.797
490,20600.582
491,17709.17
492,19667.467
493,15103.677
494,14477.138
495,16573.383
496,14298.093
497,14952.085
498,13779.642
499,12163.598
